id,slug,title,wp_link,status,modified_gmt
35206,bod-meeting-agenda-october-21-2025-700pm,"BOD Meeting Agenda – October 21, 2025 7:00PM",https://www.pristineplace.us/document/bod-meeting-agenda-october-21-2025-700pm/,publish,2025-10-17T19:44:22
34609,bod-meeting-agenda-january-18-2022-700pm,"BOD Meeting Agenda January 18, 2022 7:00PM",https://www.pristineplace.us/document/bod-meeting-agenda-january-18-2022-700pm/,publish,2025-08-28T20:36:37
34608,bod-meeting-agenda-february-15-2022,"BOD Meeting Agenda February 15, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-february-15-2022/,publish,2025-08-28T20:36:50
34607,bod-meeting-agenda-february-26th-2022,BOD Meeting Agenda February 26th 2022,https://www.pristineplace.us/document/bod-meeting-agenda-february-26th-2022/,publish,2025-08-28T20:36:44
34606,bod-meeting-agenda-march-15-2022,"BOD Meeting Agenda March 15, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-march-15-2022/,publish,2025-08-28T20:36:20
34605,bod-meeting-agenda-july-19-2022,"BOD Meeting Agenda July 19, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-july-19-2022/,publish,2025-08-28T20:36:30
34604,bod-meeting-agenda-june-21-2022,"BOD Meeting Agenda June 21, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-june-21-2022/,publish,2025-08-28T20:36:24
34603,bod-emergency-meeting-agenda-for-august-4,BOD Emergency Meeting Agenda for August 4,https://www.pristineplace.us/document/bod-emergency-meeting-agenda-for-august-4/,publish,2025-08-28T20:37:27
34602,bod-meeting-agenda-august-16-2022,"BOD Meeting Agenda August 16, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-august-16-2022/,publish,2025-08-28T20:37:03
34601,bod-meeting-agenda-september-20-2022,"BOD Meeting Agenda September 20, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-september-20-2022/,publish,2025-08-28T20:35:51
34600,bod-meeting-agenda-november-15-2022-7pm,"BOD Meeting Agenda November 15, 2022 @7pm",https://www.pristineplace.us/document/bod-meeting-agenda-november-15-2022-7pm/,publish,2025-08-28T20:36:11
34599,2022-rescheduled-annual-membership-meeting-agenda-11-30-22-7pm,2022 Rescheduled Annual Membership Meeting Agenda  11-30-22 @7Pm,https://www.pristineplace.us/document/2022-rescheduled-annual-membership-meeting-agenda-11-30-22-7pm/,publish,2025-08-28T15:27:41
34598,bod-meeting-agenda-december-13-2022-at-700pm,"BOD Meeting Agenda December 13, 2022 at 7:00pm",https://www.pristineplace.us/document/bod-meeting-agenda-december-13-2022-at-700pm/,publish,2025-08-28T20:39:56
34597,bod-meeting-agenda-for-january-11-2023,"BOD Meeting Agenda for January 11, 2023",https://www.pristineplace.us/document/bod-meeting-agenda-for-january-11-2023/,publish,2025-08-28T20:39:29
34596,bod-meeting-agenda-for-february-21-2023-700-pm,"BOD Meeting Agenda for February 21, 2023 7:00 PM",https://www.pristineplace.us/document/bod-meeting-agenda-for-february-21-2023-700-pm/,publish,2025-08-28T20:39:35
34595,bod-meeting-agenda-for-march-21-2023,"BOD Meeting Agenda for March 21, 2023",https://www.pristineplace.us/document/bod-meeting-agenda-for-march-21-2023/,publish,2025-08-28T20:39:08
34594,bod-meeting-agenda-for-april-19-2023-at-7pm,"BOD Meeting Agenda for April 19, 2023 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-for-april-19-2023-at-7pm/,publish,2025-08-28T20:39:49
34593,bod-meeting-agenda-for-may-16-2023-at-7pm,"BOD Meeting Agenda for May 16, 2023 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-for-may-16-2023-at-7pm/,publish,2025-08-28T20:39:02
34592,bod-meeting-agenda-for-june-20-2023-at-7pm,"BOD Meeting Agenda for June 20, 2023 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-for-june-20-2023-at-7pm/,publish,2025-08-28T20:39:16
34591,bod-meeting-agenda-for-july-11-2023-at-7pm,"BOD Meeting Agenda for July 11, 2023 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-for-july-11-2023-at-7pm/,publish,2025-08-28T20:39:23
34590,bod-meeting-agenda-for-august-15-2023-at-7pm,"BOD Meeting Agenda for August 15, 2023 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-for-august-15-2023-at-7pm/,publish,2025-08-28T20:39:41
34589,bod-meeting-agenda-for-september-19-2023-at-7pm,"BOD Meeting Agenda for September 19, 2023 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-for-september-19-2023-at-7pm/,publish,2025-08-28T20:38:46
34588,bod-meeting-agenda-for-october-17-2023-at-7pm,"BOD Meeting Agenda for October 17, 2023 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-for-october-17-2023-at-7pm/,publish,2025-08-28T20:41:41
34587,bod-meeting-annual-meeting-agenda-for-november-16-2023-700pm,"BOD Meeting (Annual Meeting) Agenda for November 16, 2023 @ 7:00PM",https://www.pristineplace.us/document/bod-meeting-annual-meeting-agenda-for-november-16-2023-700pm/,publish,2025-08-28T20:40:14
34586,bod-meeting-organizational-meeting-agenda-for-december-18-2023-at-630pm,"BOD Meeting (Organizational Meeting) Agenda for December 18, 2023 at 6:30PM",https://www.pristineplace.us/document/bod-meeting-organizational-meeting-agenda-for-december-18-2023-at-630pm/,publish,2025-08-28T20:43:00
34585,bod-meeting-agenda-january-16-2024-at-7pm,"BOD Meeting Agenda – January 16, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-january-16-2024-at-7pm/,publish,2025-08-28T20:42:30
34584,bod-meeting-agenda-february-20-2024-at-7pm,"BOD Meeting Agenda – February 20, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-february-20-2024-at-7pm/,publish,2025-08-28T20:42:36
34583,bod-meeting-special-membership-agenda-march-26-2024-at-7pm,"BOD Meeting (Special Membership) Agenda – March 26, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-special-membership-agenda-march-26-2024-at-7pm/,publish,2025-08-28T20:42:52
34582,bod-meeting-agenda-may-21-2024-at-7pm,"BOD Meeting Agenda – May, 21, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-may-21-2024-at-7pm/,publish,2025-08-28T20:42:02
34581,bod-meeting-agenda-april-16-2024-at-7pm,"BOD Meeting Agenda – April 16, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-april-16-2024-at-7pm/,publish,2025-08-28T20:42:44
34580,bod-meeting-agenda-june-18-2024-at-7pm,"BOD Meeting Agenda – June 18, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-june-18-2024-at-7pm/,publish,2025-08-28T20:42:13
34579,bod-meeting-agenda-july-16-2024-at-7pm,"BOD Meeting Agenda – July 16, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-july-16-2024-at-7pm/,publish,2025-08-28T20:37:11
34578,bod-meeting-agenda-august-27-2024-at-7pm,"BOD Meeting Agenda – August 27, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-august-27-2024-at-7pm/,publish,2025-08-28T20:37:21
34577,bod-meeting-agenda-sept-17-2024-at-7pm,"BOD Meeting Agenda – Sept 17, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-sept-17-2024-at-7pm/,publish,2025-08-28T20:41:47
34576,bod-meeting-agenda-oct-15-2024-at-7pm,"BOD Meeting Agenda – Oct 15, 2024 at 7PM",https://www.pristineplace.us/document/bod-meeting-agenda-oct-15-2024-at-7pm/,publish,2025-08-28T20:41:55
34575,bod-meeting-agenda-january-21-2025-at-700pm,"BOD Meeting Agenda – January 21, 2025 at 7:00PM",https://www.pristineplace.us/document/bod-meeting-agenda-january-21-2025-at-700pm/,publish,2025-08-28T20:42:21
34574,bod-meeting-agenda-february-18-2025-at-700pm,"BOD Meeting Agenda – February 18, 2025 at 7:00PM",https://www.pristineplace.us/document/bod-meeting-agenda-february-18-2025-at-700pm/,publish,2025-08-28T20:29:21
34573,bod-meeting-agenda-june-17-2025-700pm,"BOD Meeting Agenda – June 17, 2025 7:00PM",https://www.pristineplace.us/document/bod-meeting-agenda-june-17-2025-700pm/,publish,2025-08-28T20:30:08
34572,bod-meeting-agenda-july-15-2025-700pm,"BOD Meeting Agenda – July 15, 2025 7:00PM",https://www.pristineplace.us/document/bod-meeting-agenda-july-15-2025-700pm/,publish,2025-08-28T20:30:00
34571,bod-meeting-agenda-august-19-2025-700pm,"BOD Meeting Agenda – August 19, 2025 7:00PM",https://www.pristineplace.us/document/bod-meeting-agenda-august-19-2025-700pm/,publish,2025-08-28T19:29:57